Date,Open,High,Low,Close,Adj Close,Volume,return
2020-05-26,233.360001,233.570007,228.789993,229.039993,227.940811,33055300,
2020-05-27,228.690002,230.410004,223.940002,230.289993,229.184814,55665600,0.005457562165
2020-05-28,229.110001,233.470001,229.050003,229.990005,228.886261,42784300,-0.001302653216
2020-05-29,230.380005,233.600006,228.759995,233.360001,232.240097,50691800,0.01465279328
2020-06-01,232.460007,234.449997,232,234.059998,232.936722,25776000,0.002999644314
2020-06-02,234.5,235.690002,232.009995,235.630005,234.499191,33383400,0.006707711755
2020-06-03,236.259995,237.470001,235.350006,236.690002,235.554108,37228700,0.004498565452
2020-06-04,236.330002,237.789993,233.679993,235.029999,233.902069,38716100,-0.007013405661
2020-06-05,236.220001,240.300003,235.630005,239.690002,238.539719,47365600,0.01982726894
2020-06-08,239.539993,241.679993,237.910004,241.550003,240.390778,32937300,0.007760027471
2020-06-09,240.660004,244.179993,240.470001,243.300003,242.132385,35046300,0.007244876747
2020-06-10,245.050003,247.820007,244.509995,246.220001,245.038376,58084400,0.01200163569
2020-06-11,242.160004,243.589996,233.960007,234.020004,232.896927,72919400,-0.04954917127
2020-06-12,239.089996,240.399994,231.740005,235.880005,234.747986,72034800,0.007948042766
2020-06-15,232.440002,239.449997,231.470001,238.75,237.604233,45307400,0.01216718221
2020-06-16,243.779999,244.389999,239.100006,242.850006,241.68454,48890100,0.0171728
2020-06-17,244.399994,245.5,242.729996,243.619995,242.450836,34749300,0.003170636117
2020-06-18,243.289993,244.529999,242.490005,244.279999,243.107666,30578600,0.002709153655
2020-06-19,246.729996,247,242.449997,244.240005,243.067886,49422100,-0.0001637219591
2020-06-22,243.679993,246.869995,243.380005,246.740005,245.982895,24068700,0.0102358334
2020-06-23,248.389999,251.149994,247.820007,248.839996,248.076447,32767400,0.008510946573
2020-06-24,248.059998,249.330002,242.160004,243.710007,242.962189,46032400,-0.02061561277
2020-06-25,243.800003,246.339996,241.139999,246.029999,245.27507,36940800,0.009519477795
2020-06-26,245.779999,245.960007,239.679993,240.220001,239.482895,52824600,-0.02361499827
2020-06-29,239.970001,242.850006,237.350006,242.839996,242.094849,34377800,0.01090664803
2020-06-30,242.770004,248.160004,242.580002,247.600006,246.840256,38909200,0.01960142513
2020-07-01,247.639999,251.520004,247.080002,250.490005,249.72139,34689200,0.01167204737
2020-07-02,253.020004,254.270004,251.710007,252.190002,251.416183,31956500,0.00678668596
2020-07-06,255.449997,258.929993,255.429993,258.390015,257.597168,34589000,0.02458468992
2020-07-07,258.130005,260.880005,256.299988,256.609985,255.822586,36578200,-0.00688892719
2020-07-08,257.980011,260.019989,256.5,259.98999,259.19223,30426300,0.01317175947
2020-07-09,261.970001,262.869995,257.630005,262.179993,261.375519,40312900,0.008423412763
2020-07-10,262.029999,264.230011,259.26001,263.970001,263.160034,32885300,0.006827401204
2020-07-13,266.910004,269.790009,257.690002,258.540009,257.746704,64108100,-0.02057048899
